Feature Group,R2_Train,R2_Test,MSE_Test
"('HSV', 'Temp', 'Chroma')",0.7746302693733103,0.8700685910333328,20.372154619573593
"('HSV', 'Temp', 'Day')",0.7821920501783036,0.8621527149288394,21.613297567476952
"('HSV', 'Yellow', 'Cyan')",0.6426425804039471,0.7383331006929426,41.02717405977886
"('HSV', 'Yellow', 'Magenta')",0.6562002849083299,0.7352917177654106,41.50403738135577
"('HSV', 'Yellow', 'Brightness')",0.6449534780020446,0.7433883487465367,40.23455358558283
"('HSV', 'Yellow', 'Chroma')",0.649380810027665,0.7428340228763969,40.32146723045074
"('HSV', 'Yellow', 'Day')",0.734890783517274,0.7782558951903041,34.767614890722506
"('HSV', 'Cyan', 'Magenta')",0.6560781084391225,0.7257211074399514,43.00462876957014
"('HSV', 'Cyan', 'Brightness')",0.6427896396304704,0.7321621269535572,41.994730959006645
"('HSV', 'Cyan', 'Chroma')",0.6425822627929465,0.7335780560753238,41.772725154340996
"('HSV', 'Cyan', 'Day')",0.7327636495561876,0.7624137796140058,37.251525675560536
"('HSV', 'Magenta', 'Brightness')",0.6581886491889202,0.7360499395137416,41.38515457375928
"('HSV', 'Magenta', 'Chroma')",0.6559120140864294,0.7328773821218768,41.88258495060621
"('HSV', 'Magenta', 'Day')",0.7361308429975775,0.7625909985540207,37.223739232881165
"('HSV', 'Brightness', 'Chroma')",0.6425952658423562,0.7343557026068686,41.650796703737726
"('HSV', 'Brightness', 'Day')",0.7335621937381804,0.772115760361838,35.730336507499786
"('HSV', 'Chroma', 'Day')",0.7321182003916451,0.7695462688820365,36.13321120990238
"('GRAY', 'GLCM', 'LBP')",0.7356505816576079,0.7814769435440992,34.26258153795195
"('GRAY', 'GLCM', 'Temp')",0.6403773336953413,0.696391968166747,47.60319169507502
